,Hybrid Sort,Time Complexity
264,3141,14143.17012
265,3130,14193.95607
266,3149,14248.39523
267,3168,14302.8324
268,3224,14361.73055
269,3232,14414.83551
270,3230,14466.73577
271,3264,14522.96488
272,3255,14574.02628
273,3277,14628.81497
274,3335,14687.89028
275,3357,14742.65898
276,3354,14794.46733
277,3386,14850.41987
278,3379,14901.7562
279,3427,14959.59196
280,3483,15018.31289
281,3448,15066.41008
282,3464,15120.46547
283,3520,15179.18652
284,3549,15234.73973
285,3564,15288.6721
286,3570,15341.56539
287,3581,15395.03584
288,3655,15455.73044
289,3620,15503.93916
290,3677,15562.67727
291,3687,15616.0367
292,3728,15672.91358
293,3734,15725.82256
294,3740,15778.73016
295,3780,15835.48182
296,3799,15889.85739
297,3822,15944.6805
298,3848,15999.83592
299,3867,16054.20622
300,3905,16110.68644
301,3906,16163.05482
302,3933,16218.30894
303,3941,16271.45513
304,3977,16327.69935
305,3975,16379.74248
306,4008,16435.65136
307,4081,16495.91193
308,4045,16544.26233
309,4110,16603.63903
310,4081,16652.7606
311,4136,16711.04066
312,4150,16764.84994
313,4190,16821.47001
314,4212,16876.14006
315,4270,16934.65589
316,4272,16987.1852
317,4286,17040.99344
318,4316,17096.50559
319,4334,17150.73859
320,4305,17199.95822
321,4347,17256.75934
322,4351,17309.50104
323,4431,17370.30248
324,4431,17422.63558
325,4452,17477.18114
326,4470,17531.40989
327,4505,17587.42181
328,4576,17647.16074
329,4565,17698.37582
330,4570,17751.24656
331,4622,17808.99628
332,4632,17862.3902
333,4674,17919.0842
334,4697,17973.81574
335,4731,18029.67057
336,4742,18083.17141
337,4775,18138.91724
338,4794,18193.23355
339,4787,18244.90021
340,4853,18303.99187
341,4880,18359.11179
342,4905,18414.02724
343,4917,18467.63377
344,4899,18518.21035
345,4972,18577.95952
346,5022,18635.35866
347,5016,18687.17483
348,5062,18744.16681
349,5072,18797.57828
350,5086,18851.38662
351,5086,18903.80297
352,5116,18959.20186
353,5189,19018.83391
354,5167,19069.09699
355,5233,19128.0203
356,5228,19179.96636
357,5279,19237.39792
358,5232,19285.22052
359,5294,19343.74658
360,5346,19401.26077
361,5380,19457.01029
362,5301,19501.73746
363,5373,19561.23016
364,5425,19618.73105
365,5458,19674.37747
366,5529,19733.6597
367,5512,19784.50168
368,5520,19837.73574
369,5589,19896.81116
370,5589,19949.28741
371,5577,20000.60932
372,5688,20063.65146
373,5655,20113.01025
374,5693,20169.10152
375,5782,20229.97729
376,5725,20277.10514
377,5793,20336.01119
378,5820,20391.04406
379,5827,20444.20127
380,5838,20497.7331
381,5865,20552.76619
382,5956,20613.7511
383,5946,20665.34071
384,5995,20722.39931
385,6035,20778.61302
386,6035,20831.13887
387,6072,20887.07357
388,6143,20946.10815
389,6086,20993.41673
390,6209,21057.19781
391,6217,21110.47242
392,6227,21163.92779
393,6172,21211.44278
394,6246,21270.74602
395,6299,21328.10331
396,6344,21384.72089
397,6426,21444.6339
398,6413,21496.04331
399,6417,21548.96789
400,6452,21604.66981
401,6209,21635.0274
402,5960,21663.79806
403,5748,21695.18595
404,5477,21719.42731
405,5193,21740.63264
406,4884,21756.9357
407,4711,21787.90358
408,4454,21806.97188
409,4444,21857.6496
410,4455,21911.10914
411,4500,21969.06574
412,4515,22023.05202
413,4526,22076.51146
414,4558,22132.72908
415,4566,22185.79526
416,4578,22239.3858
417,4636,22298.97545
418,4611,22347.74501
419,4629,22402.11926
420,4639,22455.4481
421,4671,22511.64435
422,4683,22565.23385
423,4704,22619.99204
424,4756,22678.74772
425,4736,22728.20709
426,4776,22785.40982
427,4771,22836.80704
428,4785,22890.6539
429,4828,22948.22936
430,4827,23000.14885
431,4843,23054.25087
432,4847,23106.81119
433,4858,23160.2709
434,4932,23221.78014
435,4937,23274.47809
436,4947,23327.81108
437,4957,23381.14403
438,4998,23438.40848
439,4964,23486.15331
440,5019,23545.20279
441,5000,23594.85719
442,5067,23655.40399
443,5081,23709.2421
444,5083,23761.5696
445,5107,23816.66647
446,5119,23870.25289
447,5161,23927.59884
448,5150,23978.3048
449,5195,24036.01904
450,5201,24088.85646
451,5234,24145.05828
452,5219,24195.27918
453,5286,24255.70084
454,5277,24306.68502
455,5286,24359.89828
456,5334,24417.93912
457,5311,24467.19388
458,5333,24522.01974
459,5380,24579.92741
460,5373,24631.17015
461,5390,24685.37289
462,5429,24742.28144
463,5456,24797.70567
464,5463,24850.67847
465,5506,24908.05142
466,5498,24959.19535
467,5530,25015.22161
468,5549,25069.65897
469,5572,25124.58112
470,5577,25177.31561
471,5612,25233.69126
472,5647,25290.05541
473,5634,25340.61906
474,5682,25398.5505
475,5689,25451.53344
476,5671,25501.49517
477,5725,25560.14733
478,5754,25615.77273
479,5772,25670.07642
480,5763,25721.14258
481,5786,25776.04807
482,5802,25830.11261
483,5824,25884.89507
484,5869,25942.41731
485,5871,25994.81156
486,5901,26050.53858
487,5870,26098.99564
488,5934,26158.77731
489,5951,26212.95539
490,5918,26261.18546
491,6008,26324.02713
492,5974,26372.16777
493,6048,26433.0817
494,6025,26482.53888
495,6087,26542.01431
496,6108,26596.65487
497,6078,26645.30262
498,6120,26702.41837
