0,0,0
0,0,0
1,2,1
2,5,2
4,8,4
7,12,7
11,16,11
15,20,15
18,24,19
24,29,24
29,34,29
35,39,35
43,44,40
50,49,49
56,54,55
63,59,59
72,64,64
80,70,70
90,76,76
100,82,82
110,88,88
121,94,94
130,100,100
143,106,106
160,112,112
172,118,118
183,124,124
200,130,130
206,136,136
227,142,142
239,148,148
265,154,154
274,160,160
292,167,167
311,174,174
323,181,181
346,188,188
364,195,195
386,202,202
408,209,209
420,216,216
445,223,223
466,230,230
485,237,237
512,244,244
531,251,251
558,258,258
580,265,265
608,272,272
628,279,279
656,286,286
691,293,293
692,300,300
747,307,307
763,314,314
794,321,321
829,328,328
860,335,335
869,342,342
905,349,349
950,356,356
972,363,363
1019,370,370
1041,377,377
1073,384,384
1114,392,392
1132,400,400
1173,408,408
1198,416,416
1230,424,424
1268,432,432
1282,440,440
1346,448,448
1366,456,456
1405,464,464
1464,472,472
1523,480,480
1535,488,488
1574,496,496
1593,504,504
1638,512,512
1687,520,520
1736,528,528
1790,536,536
1814,544,544
1853,552,552
1897,560,560
1950,568,568
2001,576,576
2054,584,584
2081,592,592
2152,600,600
2171,608,608
2210,616,616
2275,624,624
2328,632,632
2371,640,640
2410,648,648
2444,656,656
2507,664,664
2577,672,672
2625,680,680
2674,688,688
2711,696,696
2772,704,704
2833,712,712
2840,720,720
2914,728,728
2993,736,736
3009,744,744
3096,752,752
3135,760,760
3190,768,768
3276,776,776
3324,784,784
3353,792,792
3470,800,800
3478,808,808
3568,816,816
3611,824,824
3687,832,832
3718,840,840
3850,848,848
3830,856,856
3978,864,864
3951,872,872
4069,880,880
4112,888,888
4113,896,896
4219,905,905
4309,914,914
4370,923,923
4446,932,932
4527,941,941
4597,950,950
4616,959,959
4735,968,968
4806,977,977
4822,986,986
4904,995,995
4971,1004,1004
5084,1013,1013
5110,1022,1022
5162,1031,1031
5284,1040,1040
5356,1049,1049
5449,1058,1058
5450,1067,1067
5584,1076,1076
5659,1085,1085
5713,1094,1094
5823,1103,1103
5877,1112,1112
5862,1121,1121
6043,1130,1130
6127,1139,1139
6194,1148,1148
6277,1157,1157
6338,1166,1166
6358,1175,1175
6501,1184,1184
