,Merge Sort,Hybrid Sort
1.00E+07,2088.9,1350.833333
1.01E+07,2143,1401.866667
1.01E+07,2173.366667,1391.833333
1.02E+07,2164.3,1407.3
1.02E+07,2203.8,1413.066667
1.03E+07,2249.666667,1392.666667
1.03E+07,2241.033333,1408.066667
1.04E+07,2192.466667,1418.066667
1.04E+07,2448.833333,1621.2
1.05E+07,2470.8,1571.733333
1.05E+07,2460.466667,1631.033333
1.06E+07,2512.666667,1591.8
1.06E+07,2514.933333,1615.5
1.07E+07,2497.2,1605.766667
1.07E+07,2567.366667,1667.166667
