,Merge Sort,Hybrid Sort
1.00E+07,7.69E+07,7.79E+07
1.01E+07,7.80E+07,7.91E+07
1.01E+07,7.92E+07,8.03E+07
1.02E+07,8.04E+07,8.14E+07
1.02E+07,8.16E+07,8.26E+07
1.03E+07,8.27E+07,8.38E+07
1.03E+07,8.39E+07,8.50E+07
1.04E+07,8.51E+07,8.62E+07
1.04E+07,8.63E+07,8.74E+07
1.05E+07,8.74E+07,8.86E+07
1.05E+07,8.86E+07,8.98E+07
1.06E+07,8.98E+07,9.09E+07
1.06E+07,9.10E+07,9.21E+07
1.07E+07,9.22E+07,9.32E+07
1.07E+07,9.33E+07,9.44E+07
1.08E+07,9.45E+07,9.55E+07
1.08E+07,9.57E+07,9.67E+07
