1,120426
2,120429
3,120437
4,120501
5,121482
6,121490
7,121492
8,121496
9,122481
10,127002
11,127028
12,126968
13,127029
14,127057
15,126971
16,127043
17,126949
18,126950
19,134231
20,143335
21,143493
22,143403
23,143514
24,143501
25,143411
26,143450
27,143424
28,143544
29,143521
30,143433
31,143433
32,143371
33,143440
34,143395
35,143407
36,143396
37,143521
38,143418
39,180642
40,183382
41,183450
42,183283
43,183217
44,183352
45,183388
46,183729
47,183696
48,183387
49,183491
50,183556
51,183368
52,183325
53,183486
54,183341
55,183420
56,183376
57,183161
58,183253
59,183261
60,183548
61,183405
62,183436
63,183473
64,183389
65,183389
66,183384
67,183275
68,183455
69,183097
70,183293
71,183593
72,183276
73,183197
74,183727
75,183261
76,183259
77,183469
78,260113
79,271346
80,271429
81,271660
82,271393
83,271819
84,271392
85,271781
86,271165
87,271653
88,271534
89,271716
90,271456
91,271393
92,271854
93,271603
94,271628
95,271201
96,271537
97,271568
98,271972
99,271340
100,271583
101,271584
102,271779
103,271715
104,271745
105,271644
106,271463
107,271668
108,271301
109,271316
110,271701
111,271486
112,271669
113,271474
114,271622
115,271426
116,271322
117,271614
118,271606
119,271532
120,270870
121,271433
122,271749
123,271118
124,271304
125,271363
126,271666
127,271111
128,271730
129,271807
130,271603
131,271627
132,271087
133,271698
134,271755
135,271467
136,271764
137,270977
138,271494
139,271437
140,271415
141,271468
142,271103
143,271641
144,271548
145,272128
146,271615
147,271506
148,272397
149,271977
150,271870
151,271487
152,271845
153,271635
154,271844
155,271808
156,409622
157,457335
158,455668
159,456185
160,457356
161,456420
162,456646
163,457271
164,457326
165,457442
166,456202
167,456543
168,456300
169,457045
170,456807
171,457085
172,456407
173,457530
174,457276
175,456418
176,456583
177,456935
178,455688
179,457018
180,457529
181,457921
182,457242
183,457503
184,457451
185,456649
186,455816
187,456863
188,456905
189,457349
190,456568
191,456422
192,456736
193,455871
194,457177
195,456429
196,456936
197,455882
198,457531
199,456098
200,456894
201,457050
202,457476
203,456990
204,456726
205,457063
206,457069
207,456683
208,457876
209,457183
210,456340
211,457591
212,457528
213,458078
214,457347
215,456535
216,456615
217,457181
218,457298
219,456495
220,457326
221,457042
222,456846
223,456672
224,457282
225,456490
226,457553
227,456524
228,456919
229,456450
230,456811
231,456051
232,457400
233,456721
234,456810
235,457129
236,456934
237,456206
238,456765
239,456705
240,457189
241,456535
242,456324
243,457132
244,456946
245,457682
246,456797
247,456412
248,456749
249,457190
250,457490
251,456846
252,456946
253,457355
254,457028
255,456618
256,457795
257,456412
258,455977
