1,1536095
2,1536046
3,1536085
4,1536534
5,1536496
6,1554272
7,1557534
8,1557385
9,1557599
10,1557545
11,1557433
12,1619276
13,1638627
14,1638590
15,1638721
16,1638546
17,1638557
18,1638543
19,1638702
20,1638838
21,1638685
22,1638781
23,1638549
24,1763964
25,1860260
26,1860695
27,1860759
28,1860983
29,1860762
30,1860691
31,1860405
32,1860731
33,1860654
34,1860939
35,1861089
36,1860927
37,1860730
38,1860973
39,1860393
40,1860686
41,1860524
42,1860264
43,1860517
44,1860932
45,1861113
46,1861082
47,1861122
48,1947043
49,2380634
50,2380229
51,2379987
52,2380718
53,2380999
54,2380362
55,2380334
56,2379783
57,2380928
58,2380654
59,2380089
60,2380807
61,2379719
62,2379576
63,2381032
64,2380516
65,2380803
66,2379772
67,2379141
68,2379299
69,2380665
70,2379855
71,2380511
72,2379999
73,2379136
74,2381011
75,2380161
76,2380106
77,2380082
78,2380261
79,2378771
80,2379924
81,2380898
82,2380055
83,2379760
84,2380075
85,2379440
86,2379656
87,2379936
88,2379847
89,2379820
90,2379859
91,2380304
92,2380170
93,2380384
94,2380571
95,2379671
96,2379616
97,2760276
98,3504352
99,3504453
100,3505062
101,3503516
102,3503345
103,3504178
104,3504273
105,3504656
106,3503049
107,3503878
108,3505720
109,3503676
